MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
246.8546,133.5699,169.6881,0.0048,0.0,0.0028,0.0031,0.0112,0.0347,0.2824,0.0129,0.0086,0.0224,0.063,0.0687,20.6777,0.2701,0.7608,-6.1388,0.0541,2.0405,0.0596
160.8818,152.6787,80.3097,0.0099,0.0,0.0027,0.0032,0.006,0.0368,0.1733,0.0168,0.0109,0.0189,0.0636,0.0081,27.9018,0.5853,0.7667,-7.8422,0.2114,1.6577,0.235
180.2244,449.2471,131.966,0.0071,0.0001,0.0026,0.0043,0.0078,0.0255,0.1899,0.007,0.0127,0.0183,0.0475,0.1055,18.2791,0.6242,0.7732,-6.9359,0.283,2.2763,0.072
196.7259,509.1874,76.9087,0.0082,0.0001,0.0034,0.0035,0.004,0.0181,0.1622,0.0058,0.0063,0.0093,0.0147,0.0223,20.688,0.4538,0.6286,-7.8,0.0526,2.2026,0.1029
234.4164,150.27,90.5195,0.0052,0.0,0.0026,0.0013,0.0103,0.0353,0.3969,0.0191,0.0082,0.019,0.0237,0.0575,18.8193,0.4442,0.6791,-6.0046,0.1355,1.9316,0.125
124.0471,129.2614,110.2932,0.0027,0.0,0.0045,0.0013,0.0036,0.0142,0.3168,0.0171,0.0121,0.0234,0.0153,0.047,18.4953,0.4327,0.6274,-5.7569,0.0193,2.7105,0.066
185.6925,525.4533,228.8798,0.0019,0.0001,0.0049,0.0035,0.017,0.0206,0.2162,0.007,0.0172,0.008,0.0526,0.0837,23.91,0.4414,0.6309,-5.6985,0.0486,2.3735,0.2041
197.3633,564.67,92.0546,0.0118,0.0001,0.0038,0.0022,0.018,0.023,0.1131,0.0128,0.0123,0.0189,0.0633,0.1031,22.1062,0.3111,0.7801,-7.4713,0.2015,1.9565,0.2187
186.577,136.0004,139.6995,0.0103,0.0,0.0062,0.0023,0.017,0.0375,0.0866,0.0182,0.0164,0.0077,0.0427,0.0352,19.3667,0.5137,0.6957,-6.6936,0.2488,2.2901,0.1303
215.3479,497.8845,215.502,0.013,0.0,0.0044,0.0036,0.0147,0.0228,0.1607,0.013,0.0077,0.0187,0.0307,0.0652,18.5162,0.5945,0.7225,-5.7344,0.0178,2.2934,0.0616
208.7913,209.6978,211.9562,0.0129,0.0,0.0062,0.0037,0.0031,0.0341,0.2356,0.0215,0.0219,0.0186,0.028,0.106,27.1864,0.5725,0.7406,-5.4239,0.1371,2.432,0.0958
197.0168,271.1053,146.8235,0.0121,0.0,0.0019,0.0022,0.0164,0.0306,0.1335,0.0142,0.0191,0.0183,0.0381,0.0518,25.6476,0.6135,0.7441,-6.8283,0.2132,1.4852,0.2261
218.3602,240.9102,212.1145,0.0025,0.0001,0.0042,0.002,0.0163,0.0231,0.3387,0.0093,0.0123,0.0265,0.0538,0.1008,32.1423,0.4465,0.7397,-6.1468,0.0351,2.8732,0.1719
170.0097,578.8987,211.2514,0.008,0.0001,0.0052,0.0048,0.0081,0.0249,0.2212,0.0219,0.0109,0.0078,0.0215,0.0054,29.821,0.3261,0.6814,-6.5262,0.0127,2.6208,0.1271
112.5726,392.9762,80.5969,0.0079,0.0001,0.0027,0.0027,0.0066,0.0379,0.1887,0.023,0.0124,0.0244,0.0292,0.0406,26.7817,0.3326,0.7775,-7.4517,0.1746,2.8255,0.0749
151.7574,137.2671,122.2527,0.0091,0.0001,0.0036,0.003,0.0098,0.0209,0.31,0.0182,0.024,0.0222,0.0282,0.0732,24.8764,0.6602,0.6556,-6.2172,0.1209,2.2106,0.2161
164.3319,377.4891,209.8879,0.0122,0.0,0.0013,0.0052,0.0056,0.0352,0.3179,0.0194,0.0152,0.0106,0.0638,0.0566,18.4741,0.2848,0.7725,-7.1166,0.2776,1.6562,0.0571
119.4388,399.0884,194.8191,0.0125,0.0001,0.0054,0.0019,0.0069,0.0128,0.2847,0.0107,0.0232,0.0081,0.0262,0.0635,26.798,0.2697,0.7399,-6.9198,0.077,1.8312,0.0932
135.1952,126.2605,117.2661,0.0054,0.0001,0.0057,0.0026,0.0083,0.0214,0.1929,0.0175,0.0155,0.0247,0.0492,0.0631,32.6832,0.321,0.732,-7.9054,0.1839,1.5937,0.1597
118.6141,356.4148,85.3635,0.0087,0.0,0.0047,0.0055,0.014,0.0211,0.3075,0.0203,0.0205,0.0097,0.0144,0.0228,24.7452,0.3697,0.6775,-7.619,0.0257,2.8106,0.0854
172.9668,434.7995,235.2695,0.0101,0.0001,0.006,0.0038,0.0039,0.0219,0.1868,0.0113,0.0224,0.0205,0.0367,0.0232,18.8546,0.3083,0.6562,-5.4502,0.2454,1.7734,0.1852
246.0912,191.8431,168.6923,0.0032,0.0,0.0011,0.0041,0.0036,0.0302,0.2279,0.0052,0.0117,0.0188,0.0292,0.0178,26.9455,0.3222,0.6664,-7.0617,0.2372,1.4362,0.0975
230.2299,184.5297,143.325,0.0077,0.0001,0.006,0.0055,0.0134,0.0178,0.2634,0.016,0.0163,0.023,0.0226,0.0162,25.1245,0.4408,0.7653,-6.2169,0.0286,2.1759,0.1768
136.5743,272.3484,149.4809,0.0042,0.0,0.0056,0.0049,0.0041,0.0289,0.1149,0.0129,0.0081,0.0212,0.0485,0.0455,20.226,0.3395,0.6394,-7.2917,0.1604,1.6847,0.2114
202.9886,520.3773,111.3331,0.0109,0.0,0.0045,0.004,0.0069,0.0362,0.1754,0.0171,0.0227,0.015,0.0558,0.0804,28.5062,0.5453,0.7157,-5.5141,0.0603,1.6822,0.2159
172.66,429.7552,222.6015,0.0088,0.0001,0.0046,0.0051,0.0172,0.0106,0.2135,0.0215,0.0248,0.0141,0.0591,0.0973,30.1614,0.4764,0.7352,-6.0832,0.2646,2.6111,0.1416
145.1546,465.9419,94.5512,0.004,0.0,0.0019,0.003,0.0162,0.016,0.1924,0.0104,0.0122,0.0227,0.0442,0.056,23.9823,0.3512,0.7149,-6.5291,0.0415,1.5096,0.0688
117.9729,291.5342,94.1699,0.0121,0.0001,0.0054,0.0039,0.0096,0.0109,0.1487,0.0075,0.0146,0.0123,0.0612,0.076,26.0812,0.6488,0.6703,-6.8191,0.2115,1.9948,0.0527
228.2677,523.1819,222.7661,0.0023,0.0,0.004,0.0042,0.0039,0.0186,0.1937,0.0051,0.0201,0.0216,0.0435,0.0569,26.4255,0.5327,0.6328,-7.1902,0.1959,1.4712,0.1518
239.1918,589.8489,163.6506,0.0083,0.0,0.003,0.0021,0.0038,0.0294,0.2148,0.0097,0.0099,0.0167,0.0413,0.0278,26.3202,0.2892,0.7218,-7.5936,0.1792,1.5314,0.1704
219.5363,190.7402,183.8348,0.0053,0.0001,0.0054,0.005,0.0133,0.0142,0.1332,0.0115,0.0066,0.0249,0.0682,0.0936,26.7117,0.4415,0.6749,-6.308,0.1161,2.4321,0.0908
255.928,246.2108,182.0706,0.0082,0.0,0.0022,0.0051,0.0182,0.0254,0.3845,0.0083,0.0066,0.0262,0.0221,0.0682,29.4567,0.6228,0.6844,-7.7719,0.2597,1.5537,0.2126
252.9489,501.409,152.8988,0.0078,0.0,0.0055,0.0043,0.0176,0.036,0.3005,0.0048,0.016,0.0148,0.068,0.0101,18.9739,0.4871,0.7573,-7.8093,0.1362,2.1329,0.1392
184.9973,531.6145,209.659,0.0038,0.0001,0.0025,0.0036,0.0049,0.0166,0.1844,0.005,0.0068,0.0188,0.0263,0.1067,31.9316,0.4373,0.6912,-5.9823,0.1199,1.9723,0.2298
134.1301,329.9159,198.2093,0.0093,0.0,0.0048,0.0012,0.0137,0.0128,0.3529,0.006,0.0223,0.0113,0.0436,0.0293,30.134,0.504,0.6658,-5.8906,0.011,2.7903,0.1204
154.6901,204.8213,193.3675,0.0107,0.0,0.0032,0.0032,0.0065,0.0218,0.3889,0.0204,0.0127,0.014,0.0186,0.0686,25.337,0.5288,0.6383,-7.0736,0.2502,2.0791,0.107
147.5712,318.6318,128.4732,0.0136,0.0,0.0024,0.0053,0.0091,0.0319,0.2178,0.0214,0.0102,0.0184,0.0407,0.0073,31.4283,0.326,0.7309,-5.9362,0.1581,2.1271,0.1437
132.8232,363.2221,86.6162,0.007,0.0001,0.0053,0.0011,0.0088,0.0211,0.253,0.0143,0.0084,0.0099,0.0249,0.0756,19.2989,0.6544,0.6476,-5.8548,0.1478,1.732,0.1514
178.531,330.2586,165.8642,0.0087,0.0,0.0028,0.0027,0.0161,0.0293,0.2435,0.0233,0.0184,0.0194,0.0343,0.0866,30.4499,0.2885,0.691,-5.8113,0.2696,2.0071,0.1196
141.6593,161.1069,149.4158,0.0094,0.0,0.0038,0.003,0.0104,0.03,0.2295,0.0165,0.0132,0.0078,0.0524,0.0274,23.9987,0.3691,0.6616,-7.1829,0.2115,1.7213,0.1013
174.5151,525.9202,99.9734,0.0116,0.0001,0.0042,0.0053,0.0172,0.0259,0.2654,0.0165,0.0241,0.0079,0.0379,0.0421,30.7581,0.5361,0.6767,-6.9069,0.1723,1.5717,0.2252
258.153,128.9303,101.4493,0.0104,0.0,0.005,0.0038,0.0038,0.0358,0.3906,0.0212,0.0101,0.0214,0.0569,0.0357,28.2734,0.4556,0.7411,-5.4037,0.0098,2.6783,0.2124
248.3329,326.2768,202.2791,0.0105,0.0,0.0019,0.0036,0.0155,0.011,0.3942,0.0146,0.0146,0.0112,0.0292,0.0779,25.3362,0.6551,0.7275,-5.5594,0.1796,1.6398,0.1591
223.0063,527.0882,205.8067,0.0108,0.0,0.0057,0.0025,0.0133,0.0405,0.0856,0.0107,0.016,0.0088,0.0336,0.0544,29.6839,0.6526,0.7839,-7.1069,0.2607,1.5358,0.2082
195.2859,462.7854,118.1481,0.0092,0.0,0.0026,0.0018,0.0053,0.0339,0.1691,0.0204,0.0067,0.0111,0.0382,0.0831,22.0718,0.5782,0.6302,-5.2728,0.0613,2.6871,0.1664
158.4566,467.78,176.8765,0.0019,0.0,0.0045,0.0034,0.0039,0.0232,0.1484,0.0155,0.0175,0.026,0.0528,0.0874,21.3749,0.2953,0.7797,-6.6212,0.2408,2.0149,0.0589
233.3402,474.8247,176.5467,0.0022,0.0,0.0059,0.0032,0.0061,0.0159,0.1789,0.0048,0.0231,0.0083,0.0475,0.0648,23.0168,0.2793,0.7759,-6.7888,0.0476,1.6438,0.0923
137.3911,579.7543,220.4016,0.0025,0.0,0.0039,0.0037,0.0042,0.0267,0.3019,0.0193,0.008,0.0106,0.055,0.0533,18.3616,0.3395,0.6638,-5.3121,0.121,2.1892,0.2221
202.3548,338.2811,105.3664,0.0121,0.0,0.0054,0.0018,0.008,0.0133,0.2004,0.0064,0.0178,0.0249,0.0178,0.0969,26.7965,0.6218,0.7145,-7.4653,0.1033,1.6771,0.2246
160.5526,130.0025,122.9169,0.0023,0.0001,0.0049,0.0023,0.007,0.0109,0.3626,0.0209,0.0182,0.0123,0.0493,0.1035,32.0648,0.2859,0.6845,-7.1414,0.0969,1.453,0.0856
203.0745,199.5906,221.7968,0.0065,0.0,0.0054,0.0053,0.006,0.0316,0.3929,0.0083,0.017,0.024,0.0371,0.0504,22.9547,0.4555,0.7255,-6.3978,0.0328,1.7903,0.182
184.1871,529.4239,81.0476,0.0067,0.0,0.0029,0.0027,0.0088,0.0183,0.3198,0.0105,0.0243,0.0161,0.0207,0.1047,28.6816,0.4257,0.685,-6.9191,0.2881,1.7922,0.066
200.5122,165.9556,74.3991,0.0024,0.0,0.0021,0.0051,0.0133,0.0403,0.136,0.0188,0.0134,0.0178,0.0571,0.0385,22.4994,0.4219,0.7357,-7.3712,0.18,2.8247,0.2415
246.8314,214.8868,87.2974,0.01,0.0,0.0044,0.0024,0.0085,0.0105,0.252,0.0215,0.0248,0.0151,0.0436,0.1071,28.8438,0.6495,0.6654,-6.8965,0.2452,1.6063,0.1667
207.5605,410.6123,231.2359,0.0023,0.0,0.0038,0.0032,0.0045,0.0307,0.1309,0.016,0.0118,0.0183,0.0353,0.03,19.5307,0.4011,0.7621,-7.1469,0.2496,2.0792,0.1336
184.1639,525.5748,187.4312,0.0125,0.0,0.0036,0.0028,0.0133,0.0227,0.0892,0.0141,0.0156,0.0213,0.0434,0.0869,26.9584,0.2982,0.743,-6.8537,0.0523,2.3935,0.2061
231.8042,250.7809,185.9661,0.0104,0.0001,0.004,0.0012,0.0059,0.0182,0.2203,0.0162,0.0066,0.0213,0.0484,0.1069,25.9112,0.4484,0.6946,-6.3738,0.2223,2.8251,0.2411
177.6985,166.279,136.6135,0.0128,0.0001,0.0053,0.0043,0.0062,0.0254,0.1427,0.0105,0.0218,0.0098,0.0483,0.0419,20.8335,0.43,0.7474,-6.7024,0.05,2.1687,0.1083
141.2577,241.7821,134.2731,0.0098,0.0,0.0049,0.0018,0.0061,0.0382,0.3847,0.008,0.0216,0.0079,0.0631,0.0362,18.0933,0.4586,0.6429,-6.8753,0.1433,1.9699,0.199
215.8779,347.9319,117.1284,0.0109,0.0,0.0034,0.0045,0.0044,0.0407,0.1248,0.015,0.0108,0.0093,0.0208,0.0836,20.0451,0.5958,0.6533,-5.381,0.2005,1.6529,0.0606
123.7122,469.4984,226.2479,0.0029,0.0,0.0062,0.0037,0.0161,0.0308,0.2467,0.0192,0.013,0.0088,0.0344,0.0351,19.6949,0.5489,0.6605,-7.1358,0.1385,1.6484,0.2263
165.466,282.698,82.6206,0.011,0.0001,0.0053,0.0037,0.0091,0.0128,0.1599,0.0089,0.0091,0.021,0.0586,0.07,32.5579,0.5887,0.7425,-5.5489,0.2221,2.8544,0.2078
148.732,126.0481,79.3024,0.0127,0.0001,0.0055,0.0028,0.0136,0.0256,0.3245,0.023,0.0117,0.014,0.0422,0.0049,21.2814,0.4137,0.6691,-5.6846,0.1882,1.814,0.201
120.0258,262.2731,92.8336,0.0132,0.0,0.004,0.0022,0.0157,0.0252,0.2234,0.0214,0.0085,0.0194,0.0169,0.0592,21.7314,0.4285,0.727,-5.713,0.1643,2.0756,0.0556
191.682,576.6271,113.2365,0.0052,0.0001,0.0043,0.0056,0.0121,0.014,0.2108,0.0118,0.0201,0.0223,0.0362,0.0259,28.5234,0.4183,0.7342,-7.4928,0.281,2.1025,0.2234
189.5571,123.1447,150.3165,0.0092,0.0001,0.0036,0.002,0.016,0.0169,0.0878,0.0218,0.0232,0.0127,0.0598,0.0487,23.0963,0.6311,0.6425,-7.223,0.2351,1.7313,0.1147
133.0576,571.2714,209.9654,0.0033,0.0,0.0028,0.0017,0.003,0.0218,0.2617,0.0152,0.0186,0.0112,0.0203,0.0924,32.6576,0.4669,0.7642,-6.514,0.1479,2.187,0.1522
229.6706,586.1665,124.6936,0.007,0.0001,0.0018,0.0042,0.012,0.0357,0.1465,0.0152,0.0101,0.0139,0.0216,0.0786,27.132,0.3644,0.751,-6.3722,0.2792,2.1507,0.0897
124.9724,516.6943,127.1015,0.0132,0.0,0.0018,0.0047,0.0161,0.0162,0.2096,0.0048,0.0199,0.0128,0.0301,0.0714,18.1911,0.6526,0.7155,-7.9052,0.1752,1.5307,0.2392
199.7872,114.5675,74.2962,0.0078,0.0001,0.003,0.0023,0.0115,0.0171,0.1807,0.0192,0.022,0.0131,0.0453,0.0164,19.4247,0.6052,0.6621,-5.2969,0.1684,2.8691,0.2354
187.8202,494.2787,180.1893,0.0126,0.0,0.0022,0.0037,0.0162,0.0187,0.2287,0.0082,0.0128,0.013,0.0517,0.107,29.5498,0.3508,0.7695,-5.8892,0.1898,1.6095,0.084
194.7003,543.6712,175.2905,0.0128,0.0,0.0053,0.003,0.0045,0.0189,0.245,0.0095,0.0085,0.0249,0.0564,0.0671,25.5547,0.4143,0.7488,-5.9583,0.0942,2.6401,0.1436
157.6878,463.3748,206.3305,0.0066,0.0,0.0047,0.0042,0.0039,0.0236,0.3034,0.0127,0.011,0.0149,0.0686,0.1019,29.5472,0.6554,0.7465,-7.7289,0.2597,1.9817,0.0949
122.1366,253.6737,196.6996,0.0112,0.0,0.0034,0.0042,0.0079,0.0353,0.2876,0.0199,0.0082,0.0213,0.0598,0.0114,21.6957,0.4928,0.6976,-5.6774,0.0632,2.489,0.2261
137.7219,169.5631,94.0216,0.006,0.0,0.0018,0.0039,0.016,0.038,0.187,0.0136,0.0098,0.0128,0.0143,0.0303,31.1584,0.4213,0.6565,-6.47,0.0845,2.7361,0.16
156.5945,203.5409,110.696,0.0023,0.0001,0.0013,0.0029,0.0173,0.0254,0.2301,0.0183,0.0245,0.0132,0.0474,0.017,24.5328,0.6179,0.7809,-6.9715,0.2096,2.8216,0.2364
201.6329,173.5027,143.234,0.0068,0.0,0.0054,0.0043,0.0124,0.031,0.3171,0.0198,0.013,0.0234,0.0259,0.0093,24.2279,0.2921,0.6559,-5.4091,0.1055,2.2194,0.2219
218.7104,477.3863,163.4152,0.003,0.0,0.004,0.0042,0.0065,0.0137,0.2188,0.007,0.0183,0.0145,0.0561,0.0789,18.466,0.5972,0.7571,-7.3224,0.0606,1.4363,0.1453
136.3932,486.081,133.4264,0.0111,0.0001,0.005,0.0056,0.0063,0.0118,0.131,0.0169,0.0134,0.0221,0.0497,0.0219,30.4044,0.6265,0.7737,-6.8476,0.0428,1.4242,0.1082
211.2644,314.2542,204.4652,0.008,0.0,0.0011,0.0052,0.0104,0.0142,0.2816,0.0198,0.017,0.0151,0.0155,0.0404,25.6342,0.2849,0.6672,-7.6704,0.1563,1.8756,0.1772
139.3539,509.8079,153.9119,0.0111,0.0,0.0043,0.0052,0.0167,0.0405,0.2073,0.0071,0.0068,0.0086,0.0534,0.0793,28.2822,0.5825,0.6842,-7.1117,0.0309,1.8558,0.1093
135.9026,510.4547,87.9172,0.0122,0.0001,0.0014,0.0013,0.0048,0.0167,0.1871,0.0145,0.0138,0.0246,0.0555,0.1055,27.0122,0.5937,0.7809,-6.2735,0.2364,1.6415,0.0717
247.0087,141.0206,205.9202,0.0089,0.0,0.0044,0.0045,0.0127,0.0297,0.1787,0.0231,0.0193,0.0254,0.0458,0.09,27.6731,0.6457,0.6442,-6.5321,0.2914,2.3334,0.1109
237.3269,222.1305,87.3982,0.0115,0.0,0.0014,0.0017,0.0163,0.0232,0.131,0.0154,0.0094,0.0179,0.046,0.0218,31.6024,0.5099,0.7709,-6.853,0.0344,2.2016,0.0836
202.2042,537.726,90.668,0.0061,0.0001,0.0025,0.0053,0.0146,0.029,0.2492,0.0201,0.0246,0.0084,0.0453,0.0287,21.4656,0.5417,0.7255,-6.301,0.2205,2.3343,0.1225
226.3208,379.2239,224.4927,0.0107,0.0,0.006,0.0011,0.015,0.0127,0.3389,0.0093,0.0126,0.0203,0.0164,0.0844,23.8451,0.3674,0.7819,-7.483,0.0637,1.5622,0.2261
171.1007,263.6949,216.2825,0.0073,0.0001,0.0055,0.004,0.007,0.0116,0.2657,0.0089,0.0102,0.0118,0.0294,0.088,23.6955,0.3123,0.7297,-5.985,0.2633,1.8475,0.2238
137.3365,168.3856,178.0557,0.0022,0.0,0.004,0.0056,0.01,0.0385,0.2055,0.011,0.0081,0.0126,0.017,0.0895,30.2084,0.6597,0.6432,-6.3699,0.2522,2.438,0.1131
171.4974,346.3772,101.6466,0.0132,0.0,0.0032,0.0044,0.0074,0.0353,0.1556,0.0177,0.0062,0.017,0.0317,0.0862,21.2307,0.4088,0.7164,-6.9899,0.2785,2.4444,0.1409
140.6688,292.263,79.5331,0.011,0.0,0.0044,0.0033,0.0159,0.0281,0.1753,0.0212,0.0178,0.0138,0.0474,0.0897,27.8295,0.5417,0.7557,-6.5957,0.1968,2.7053,0.1633
164.8958,345.7393,197.432,0.0093,0.0001,0.0039,0.005,0.0147,0.0382,0.3835,0.0118,0.0116,0.0125,0.019,0.1046,19.8326,0.4141,0.6286,-5.2662,0.2457,2.0205,0.1698
157.0971,185.7602,121.011,0.0045,0.0,0.003,0.0014,0.0168,0.0199,0.1499,0.0088,0.0132,0.02,0.0264,0.0641,18.6768,0.5062,0.672,-5.7769,0.1402,2.2877,0.2456
245.5348,357.4165,218.1427,0.0018,0.0,0.0033,0.0032,0.0102,0.0248,0.1479,0.0213,0.0065,0.0166,0.0436,0.0792,27.907,0.2823,0.7291,-7.0868,0.2096,1.7523,0.1609
237.0101,512.1895,122.6816,0.0046,0.0001,0.003,0.0055,0.0186,0.0382,0.1296,0.0197,0.01,0.0225,0.0218,0.0852,23.893,0.4726,0.7765,-5.4706,0.2776,1.6004,0.0484
129.6906,328.6342,188.5444,0.0091,0.0001,0.0014,0.0037,0.017,0.0132,0.3108,0.0073,0.0103,0.0193,0.0397,0.0156,31.9741,0.3977,0.6942,-7.8921,0.072,2.2469,0.2455
